kepoi_name,H_index_combined,H_vis,H_delta,koi_insol,koi_teq,koi_prad,H_index,HZ_bin
K04990.01,1.0,1.0,0.0,1.0,255.0,1.93,1.0,1
K04687.01,1.0,1.0,0.0,1.0,255.0,1.51,1.0,1
K08049.01,0.9996294923706802,0.9575850595027371,0.00037050762931978287,1.01,256.0,1.61,1.0,1
K04404.01,0.9996294923706802,0.9575850595027371,0.00037050762931978287,1.01,255.0,1.47,1.0,1
K05861.01,0.9996294923706802,0.9575850595027371,0.00037050762931978287,1.01,256.0,1.58,1.0,1
K08085.01,0.9992587098840057,0.9440248477139431,0.0007412901159943308,1.02,256.0,1.7,1.0,1
K04830.01,0.9992587098840057,0.9440248477139431,0.0007412901159943308,1.02,256.0,1.01,1.0,1
K05938.01,0.9988876520296579,0.934159022995654,0.001112347970342098,1.03,257.0,1.66,1.0,1
K05627.01,0.9988876520296579,0.934159022995654,0.001112347970342098,1.03,257.0,1.35,1.0,1
K04878.01,0.998516318295801,0.9261183992440705,0.0014836817041989914,1.04,258.0,1.04,1.0,1
K08293.01,0.998516318295801,0.9261183992440705,0.0014836817041989914,1.04,258.0,1.53,1.0,1
K07880.01,0.9981447081690751,0.9192086448274122,0.0018552918309249211,1.05,258.0,1.81,1.0,1
K05767.01,0.9977728211345901,0.9130835382045502,0.0022271788654099067,1.06,259.0,1.89,1.0,1
K05227.01,0.9977728211345901,0.9130835382045502,0.0022271788654099067,1.06,259.0,1.89,1.0,1
K08272.01,0.9974006566759197,0.9075417949071363,0.0025993433240802943,1.07,259.0,1.14,1.0,1
